公司全称,公司简称,品牌,产品系列,型号,类型,价格 (元),主要用途,发布时间,身高 (cm),重量 (kg),自由度,最大速度 (m/s),续航时间 (h),算力平台,传感器配置,认证资质,销售渠道,官网链接,事故总数,伤亡人数,机损金额 (元),物损金额 (元),2023 年销量,2024 年销量,2025 年销量,累计销量,2025 年市占率,2025 年营收 (万元),核心客户类型,海外销量占比,毛利率,销售数据来源
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流机器人,Klaus-Shuttle R1,四向穿梭车,380000,密集仓储/智能货架,2023-08,-,180,-,-,2.0,-,嵌入式控制器,激光导航+RFID,CE,企业直销/项目定制,https://www.klaus.com.cn,0,0,0,,,,,,,,,,
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流机器人,Klaus-Shuttle R2,四向穿梭车,520000,重型密集仓储,2024-06,-,250,-,-,1.8,-,嵌入式控制器,激光导航+RFID,CE,企业直销/项目定制,https://www.klaus.com.cn,0,0,0,,,,,,,,,,
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流机器人,Klaus-AGV M1,潜伏式 AGV,128000,物料搬运/产线物流,2023-05,-,85,-,-,1.5,8h,嵌入式控制器,激光 SLAM+ 视觉,CE,企业直销/经销商,https://www.klaus.com.cn,1,0,45000,2200,3500,5500,11200,12%,70400,制造/物流,0%,35%,估算
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流机器人,Klaus-AGV M2,牵引式 AGV,168000,物料搬运/产线物流,2023-05,-,120,-,-,1.2,10h,嵌入式控制器,激光 SLAM+ 磁导航,CE,企业直销/经销商,https://www.klaus.com.cn,0,0,0,,,,,,,,,,
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流机器人,Klaus-AMR A1,自主移动机器人,258000,柔性物流/智能搬运,2024-09,-,150,-,-,1.5,12h,工业 PC+ 嵌入式,激光 SLAM+ 视觉 SLAM,CE/FCC,企业直销/项目定制,https://www.klaus.com.cn,0,0,0,,,,,,,,,,
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流机器人,Klaus-AMR A2,自主移动机器人,328000,重载柔性物流,2024-09,-,200,-,-,1.2,10h,工业 PC+ 嵌入式,激光 SLAM+ 视觉 SLAM,CE/FCC,企业直销/项目定制,https://www.klaus.com.cn,0,0,0,,,,,,,,,,
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流机器人,Klaus-Conveyor C1,智能输送线,180000,产线输送/分拣,2023-02,-,-,-,-,1.0,-,PLC 控制系统,光电传感器,CE,企业直销/项目定制,https://www.klaus.com.cn,0,0,0,,,,,,,,,,
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流系统,Klaus-WMS W1,仓储管理系统,500000,仓储管理/库存优化,2023-01,-,-,-,-,-,-,服务器 + 数据库,条码/RFID,CE,企业直销/项目定制,https://www.klaus.com.cn,0,0,0,,,,,,,,,,
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流系统,Klaus-WCS W1,仓储控制系统,350000,设备调度/任务管理,2023-01,-,-,-,-,-,-,服务器+PLC,多协议接口,CE,企业直销/项目定制,https://www.klaus.com.cn,0,0,0,,,,,,,,,,
深圳市优必选科技股份有限公司,优必选,UBTECH,Walker 系列,Walker S2,人形机器人,980000,工业作业/商用服务,2024-11,175,75,42,1.0,2.5,Intel i7+GPU,深度相机 + 激光雷达+IMU,CE/FCC,企业直销/项目定制,https://www.ubtrobot.com,1,0,150000,0,-,280,650,930,8%,63700,车企/商用,8%,35%,企业发布
深圳市优必选科技股份有限公司,优必选,UBTECH,Walker 系列,Walker S1,人形机器人,680000,科研/展示,2023-08,170,70,36,0.8,2.0,Intel i5,深度相机+IMU,CE,企业直销,https://www.ubtrobot.com,1,1,120000,0,320,480,580,1380,7%,39440,科研/展示,10%,32%,企业发布
深圳市优必选科技股份有限公司,优必选,UBTECH,Alpha 系列,Alpha Mini2,教育人形机器人,12800,教育/娱乐,2024-03,38,1.8,16,-,2h,嵌入式 MCU,红外 + 摄像头,3C,官网/电商,https://www.ubtrobot.com,0,0,0,0,18000,28000,42000,88000,25%,53760,教育/家庭,20%,45%,企业发布
深圳市优必选科技股份有限公司,优必选,UBTECH,Alpha 系列,Alpha 1E,教育人形机器人,8800,教育/编程,2023-06,35,1.5,16,-,1.5h,嵌入式 MCU,红外传感器,3C,官网/电商,https://www.ubtrobot.com,0,0,0,0,,,,,,,,,,
深圳市优必选科技股份有限公司,优必选,UBTECH,商用服务,Cruzr S2,商用服务机器人,158000,商业导览/服务,2024-05,155,55,12,1.2,8h,工业 PC,激光雷达 + 深度相机,CE,企业直销,https://www.ubtrobot.com,0,0,0,0,,,,,,,,,,
上海傅利叶智能科技有限公司,傅利叶智能,Fourier,GR 系列,GR-1,人形机器人,450000,科研/康复,2024-02,165,65,24,1.0,2.0,Intel i7,深度相机+IMU+ 力觉,CE,企业直销/科研合作,https://www.fourierintelligence.com,1,0,180000,0,,,,,,,,,,
上海傅利叶智能科技有限公司,傅利叶智能,Fourier,GR 系列,GR-1S,人形机器人,580000,科研/工业,2024-08,165,68,28,1.2,2.5,Intel i7+GPU,深度相机 + 激光雷达+IMU,CE,企业直销,https://www.fourierintelligence.com,0,0,0,0,,,,,,,,,,
上海傅利叶智能科技有限公司,傅利叶智能,Fourier,康复机器人,X2,上肢康复机器人,280000,医疗康复,2023-05,-,45,-,-,-,嵌入式控制器,力觉传感器+IMU,CE/FDA,医院/康复中心,https://www.fourierintelligence.com,0,0,0,0,,,,,,,,,,
上海傅利叶智能科技有限公司,傅利叶智能,Fourier,康复机器人,X3,下肢康复机器人,380000,医疗康复,2023-08,-,65,-,-,-,嵌入式控制器,力觉传感器+IMU,CE/FDA,医院/康复中心,https://www.fourierintelligence.com,0,0,0,0,,,,,,,,,,
达闼机器人股份有限公司,达闼科技,CloudMinds,XR 系列,XR-4,云端智能机器人,680000,商用服务/安防,2024-06,168,60,24,1.0,6h,云端 AI+ 边缘计算,深度相机 + 激光雷达,CE,企业直销/项目定制,https://www.cloudminds.com,1,0,95000,0,,,,,,,,,,
达闼机器人股份有限公司,达闼科技,CloudMinds,XR 系列,XR-3,云端智能机器人,480000,商用服务,2023-03,165,55,20,0.8,5h,云端 AI+ 边缘计算,深度相机,CE,企业直销,https://www.cloudminds.com,0,0,0,0,,,,,,,,,,
达闼机器人股份有限公司,达闼科技,CloudMinds,HARIX 平台,HARIX 1.0,机器人云平台,500000,云端控制/AI 服务,2023-01,-,-,-,-,-,-,云端服务器,多模态接口,CE,企业订阅,https://www.cloudminds.com,0,0,0,,,,,,,,,,
小米科技有限责任公司,小米,Xiaomi,CyberDog 系列,CyberDog 2,四足机器人,29999,消费级/开发,2023-08,50,32,12,3.2,2h,Intel i5+NVIDIA,深度相机 + 激光雷达+IMU,3C/CE,官网商城,https://www.mi.com,0,0,0,0,,,,,,,,,,
小米科技有限责任公司,小米,Xiaomi,CyberDog 系列,CyberDog 1,四足机器人,14999,消费级/开发,2022-03,45,28,12,2.8,1.5h,Intel i5,深度相机+IMU,3C,官网商城,https://www.mi.com,0,0,0,0,,,,,,,,,,
小米科技有限责任公司,小米,Xiaomi,CyberOne 系列,CyberOne,人形机器人,999999,科研/展示,2024-10,177,52,24,1.2,2.5,Intel i7+GPU,深度相机 + 激光雷达+IMU,CE,限量预售,https://www.mi.com,0,0,0,0,,,,,,,,,,
星动纪元（北京）科技有限公司,星动纪元,Astribot,S1 系列,S1,通用人形机器人,198000,科研/教育,2024-12,160,55,28,1.0,2.0,Jetson Orin,深度相机+IMU,CE,企业直销,https://www.astribot.com,0,0,0,0,,,,,,,,,,
银河通用（北京）机器人有限公司,银河通用,Galbot,G1 系列,G1,人形机器人,258000,工业/物流,2024-09,165,60,24,1.0,2.5,Intel i7,深度相机 + 激光雷达,CE,企业直销,https://www.galbot.com,0,0,0,0,,,,,,,,,,
沈阳新松机器人自动化股份有限公司,新松机器人,SIASUN,IR 系列,SR16A,工业 AGV,168000,物料搬运/产线物流,2023-04,-,180,-,-,1.5,10h,嵌入式控制器,激光 SLAM+ 磁导航,CE,企业直销/项目定制,https://www.siasun.com,1,1,75000,8500,12000,15000,35500,18%,252000,制造/物流,5%,32%,年报 + 估算
沈阳新松机器人自动化股份有限公司,新松机器人,SIASUN,IR 系列,SIR6-AR-01,协作机器人,280000,工业装配/检测,2023-08,-,25,6,-,-,嵌入式控制器,力觉传感器+IMU,CE,企业直销,https://www.siasun.com,1,0,92000,0,,,,,,,,,,
沈阳新松机器人自动化股份有限公司,新松机器人,SIASUN,AGV 系列,AGV-500,重载 AGV,450000,重载搬运/仓储,2024-02,-,800,-,-,1.0,8h,工业 PC,激光 SLAM+ 视觉,CE,企业直销/项目定制,https://www.siasun.com,1,0,450000,1200,1800,2800,5800,12%,126000,重工/物流,3%,35%,估算
沈阳新松机器人自动化股份有限公司,新松机器人,SIASUN,洁净机器人,EFEM 系列,半导体洁净机器人,880000,半导体制造,2023-06,-,120,-,-,-,嵌入式控制器,精密传感器,SEMI/CE,企业直销,https://www.siasun.com,0,0,0,0,,,,,,,,,,
安徽埃斯顿自动化股份有限公司,埃斯顿,ESTUN,ER 系列,ER20-1710,工业机械臂,185000,焊接/搬运/码垛,2023-03,-,280,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.estun.com,2,0,285000,0,8500,12000,15000,35500,18%,277500,制造/焊接,8%,35%,年报 + 估算
安徽埃斯顿自动化股份有限公司,埃斯顿,ESTUN,ER 系列,ER10-1600,工业机械臂,145000,装配/检测/涂胶,2023-03,-,160,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.estun.com,0,0,0,0,,,,,,,,,,
安徽埃斯顿自动化股份有限公司,埃斯顿,ESTUN,ER 系列,ER4-550,小型机械臂,98000,3C/精密装配,2024-01,-,55,4,-,-,专用控制器,编码器,CE,企业直销,https://www.estun.com,0,0,0,0,,,,,,,,,,
广州数控设备有限公司,广数,GSK,RB 系列,RB08,工业机械臂,128000,焊接/搬运,2023-05,-,140,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.gskcnc.com,1,1,220000,0,,,,,,,,,,
广州数控设备有限公司,广数,GSK,RB 系列,RB20,工业机械臂,168000,码垛/搬运,2023-05,-,260,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.gskcnc.com,0,0,0,0,,,,,,,,,,
上海节卡机器人股份有限公司,节卡,JAKA,Zu 系列,JAKA Zu 7,协作机器人,158000,工业装配/人机协作,2023-07,-,24,6,-,-,嵌入式控制器,力觉传感器 + 视觉,CE,企业直销/经销商,https://www.jaka.com,1,1,68000,0,,,,,,,,,,
上海节卡机器人股份有限公司,节卡,JAKA,Zu 系列,JAKA Zu 5,协作机器人,128000,工业装配/人机协作,2023-07,-,18,6,-,-,嵌入式控制器,力觉传感器,CE,企业直销,https://www.jaka.com,0,0,0,0,,,,,,,,,,
上海节卡机器人股份有限公司,节卡,JAKA,Pro 系列,JAKA Pro 16,重载协作机器人,268000,重载装配/检测,2024-03,-,35,6,-,-,嵌入式控制器,力觉传感器 + 视觉,CE,企业直销,https://www.jaka.com,0,0,0,0,,,,,,,,,,
上海钛米机器人股份有限公司,钛米机器人,TiMi,服务机器人系列,Runner,商用服务机器人,198000,医院配送/导览,2023-09,-,55,-,-,1.2,12h,工业 PC,激光雷达 + 深度相机,CE,医院/企业直销,https://www.timirobot.com,0,0,0,,,,,,,,,,
上海钛米机器人股份有限公司,钛米机器人,TiMi,消毒机器人系列,TiMi-UV,消毒机器人,168000,医院/公共场所消毒,2023-04,-,45,-,-,1.0,8h,嵌入式控制器,激光雷达 + 视觉,CE,医院/企业直销,https://www.timirobot.com,0,0,0,,,,,,,,,,
北京云迹科技有限公司,云迹科技,Cloud 迹,服务机器人系列,Runner,酒店服务机器人,128000,酒店配送/服务,2023-06,-,50,-,-,1.2,10h,工业 PC,激光雷达 + 深度相机,CE,企业直销/租赁,https://www.cloud 迹.com,1,1,15000,,,,,,,,,,
北京云迹科技有限公司,云迹科技,Cloud 迹,服务机器人系列,Wizard,商用服务机器人,158000,商业导览/配送,2024-02,-,55,-,-,1.2,10h,工业 PC,激光雷达 + 深度相机,CE,企业直销,https://www.cloud 迹.com,0,0,0,,,,,,,,,,
上海擎朗智能科技有限公司,擎朗智能,KEENON,配送机器人系列,T8,餐饮配送机器人,88000,餐厅配送/服务,2023-05,-,45,-,-,1.0,12h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销/租赁,https://www.keenon.com,0,0,0,,,,,,,,,,
上海擎朗智能科技有限公司,擎朗智能,KEENON,配送机器人系列,T9,多功能配送机器人,108000,医疗/酒店配送,2024-01,-,50,-,-,1.0,12h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销/租赁,https://www.keenon.com,0,0,0,,,,,,,,,,
普渡科技有限公司,普渡,Pudu,配送机器人系列,BellaBot,餐饮配送机器人,78000,餐厅配送,2023-03,-,42,-,-,1.0,10h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销/经销商,https://www.pudutech.com,0,0,0,,,,,,,,,,
普渡科技有限公司,普渡,Pudu,配送机器人系列,Ketbot,多功能配送机器人,98000,医疗/酒店配送,2024-04,-,48,-,-,1.0,12h,嵌入式控制器,激光雷达 + 深度相机,CE,企业直销,https://www.pudutech.com,0,0,0,,,,,,,,,,
上海微创医疗机器人（集团）股份有限公司,微创机器人,MicroPort,图迈系列,图迈 T50,腔镜手术机器人,12800000,医疗手术,2023-08,-,800,-,-,-,工业 PC+ 嵌入式,3D 视觉 + 力反馈,NMPA/FDA/CE,医院直销,https://www.microport.com,0,0,0,0,,,,,,,,,,
上海微创医疗机器人（集团）股份有限公司,微创机器人,MicroPort,鸿鹄系列,鸿鹄 H100,关节置换手术机器人,8800000,骨科手术,2024-05,-,600,-,-,-,工业 PC+ 嵌入式,3D 视觉 + 导航,NMPA/CE,医院直销,https://www.microport.com,0,0,0,0,,,,,,,,,,
直觉外科公司,直觉外科,Intuitive,达芬奇系列,da Vinci Xi,腔镜手术机器人,15000000,医疗手术,2022-01,-,750,-,-,-,工业 PC+ 嵌入式,3D 视觉 + 力反馈,FDA/CE/NMPA,医院直销,https://www.intuitive.com,0,0,0,0,,,,,,,,,,
发那科公司,发那科,FANUC,M 系列,M-20iA,工业机械臂,280000,焊接/搬运/装配,2023-02,-,280,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.fanuc.com,1,1,280000,0,15000,18000,22000,55000,14%,616000,汽车/3C,12%,48%,行业报告
发那科公司,发那科,FANUC,M 系列,M-10iA,小型机械臂,180000,装配/检测,2023-02,-,140,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.fanuc.com,0,0,0,0,,,,,,,,,,
发那科公司,发那科,FANUC,M 系列,M-710iC,重载机械臂,580000,搬运/码垛/切割,2023-02,-,650,6,-,-,专用控制器,编码器,CE,企业直销,https://www.fanuc.com,0,0,0,0,,,,,,,,,,
ABB 公司,ABB,IRB 系列,IRB 6700,工业机械臂,450000,焊接/搬运/码垛,2023-03,-,500,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.abb.com,1,0,350000,0,,,,,,,,,,,
ABB 公司,ABB,IRB 系列,IRB 120,小型机械臂,120000,精密装配/检测,2023-03,-,25,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.abb.com,0,0,0,0,,,,,,,,,,,
ABB 公司,ABB,YuMi 系列,YuMi,协作机器人,280000,精密装配/人机协作,2023-06,-,12,14,-,-,嵌入式控制器,力觉传感器,CE,企业直销,https://www.abb.com,0,0,0,0,,,,,,,,,,,
库卡机器人有限公司,库卡,KUKA,KR 系列,KR 210,工业机械臂,380000,焊接/搬运/切割,2023-04,-,450,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.kuka.com,1,1,180000,0,10000,14000,16000,40000,12%,608000,汽车/制造,18%,44%,行业报告
库卡机器人有限公司,库卡,KUKA,KR 系列,KR 1000,重载机械臂,980000,重载搬运/铸造,2023-04,-,1200,6,-,-,专用控制器,编码器,CE,企业直销,https://www.kuka.com,0,0,0,0,,,,,,,,,,
库卡机器人有限公司,库卡,KUKA,LBR 系列,LBR iiwa 14,协作机器人,480000,精密装配/人机协作,2024-02,-,35,7,-,-,嵌入式控制器,力觉传感器,CE,企业直销,https://www.kuka.com,0,0,0,0,,,,,,,,,,
安川电机公司,安川,YASKAWA,Motoman 系列,GP25,工业机械臂,220000,焊接/搬运/装配,2023-05,-,250,6,-,-,专用控制器,编码器,CE,企业直销/经销商,https://www.yaskawa.com,1,0,580000,0,,,,,,,,,,
安川电机公司,安川,YASKAWA,Motoman 系列,HC20DT,协作机器人,320000,工业装配/人机协作,2024-01,-,280,6,-,-,专用控制器,力觉传感器,CE,企业直销,https://www.yaskawa.com,0,0,0,0,,,,,,,,,,
中信重工开诚智能装备有限公司,中信重工,CITIC,RX 系列,CITIC-H1,特种消防机器人,680000,消防灭火/侦察,2023-07,-,450,-,-,1.5,4h,工业 PC,红外热成像 + 激光雷达,CE/Ex,企业直销/政府采购,https://www.citic-hic.com,1,2,1200000,,,,,,,,,,
中信重工开诚智能装备有限公司,中信重工,CITIC,RX 系列,CITIC-RX,特种巡检机器人,480000,电力巡检/安防,2023-09,-,380,-,-,2.0,6h,工业 PC,红外热成像 + 可见光,CE,企业直销/政府采购,https://www.citic-hic.com,1,1,850000,,,,,,,,,,
杭州海康机器人股份有限公司,海康机器人,Hikrobot,AGV 系列,AGV-1000,潜伏式 AGV,148000,物料搬运/仓储,2023-06,-,120,-,-,1.5,10h,嵌入式控制器,激光 SLAM+ 二维码,CE,企业直销/经销商,https://www.hikrobotics.com,0,0,0,6500,9500,14000,30000,22%,207200,制造/仓储,5%,38%,年报 + 估算
杭州海康机器人股份有限公司,海康机器人,Hikrobot,AGV 系列,AGV-2000,牵引式 AGV,198000,物料搬运/产线物流,2024-01,-,180,-,-,1.2,12h,嵌入式控制器,激光 SLAM+ 磁导航,CE,企业直销,https://www.hikrobotics.com,0,0,0,,,,,,,,,,
杭州海康机器人股份有限公司,海康机器人,Hikrobot,AMR 系列,AMR-800,自主移动机器人,268000,柔性物流/智能搬运,2024-05,-,150,-,-,1.5,12h,工业 PC,激光 SLAM+ 视觉 SLAM,CE/FCC,企业直销,https://www.hikrobotics.com,0,0,0,1800,3200,5500,10500,8%,147400,柔性制造,8%,42%,估算
苏州极智嘉科技有限公司,极智嘉,Geek+,AMR 系列,P800,仓储 AMR,188000,仓储物流/拣选,2023-04,-,130,-,-,1.8,10h,工业 PC,激光 SLAM+ 视觉,CE,企业直销/项目定制,https://www.geekplus.com,0,0,0,8500,12000,18000,38500,26%,338400,电商/物流,20%,45%,企业发布
苏州极智嘉科技有限公司,极智嘉,Geek+,AMR 系列,P1000,重载仓储 AMR,258000,重载仓储/搬运,2024-02,-,180,-,-,1.5,12h,工业 PC,激光 SLAM+ 视觉,CE,企业直销,https://www.geekplus.com,0,0,0,2800,4500,8500,15800,12%,219300,制造/物流,18%,42%,估算
苏州极智嘉科技有限公司,极智嘉,Geek+,分拣系列,S1000,智能分拣机器人,298000,物流分拣/输送,2023-08,-,200,-,-,2.0,10h,工业 PC,激光 SLAM+ 视觉,CE,企业直销/项目定制,https://www.geekplus.com,0,0,0,,,,,,,,,,
大疆创新科技有限公司,大疆 DJI,DJI,消费无人机,Mavic 3 Pro,消费无人机,14499,航拍/摄影,2023-11,-,958,-,-,0.8,0.5h,嵌入式控制器,视觉 + 红外 + 雷达,CE/FCC,官网/电商,https://www.dji.com,0,0,0,,,,,,,,,,
大疆创新科技有限公司,大疆 DJI,DJI,农业无人机,Agras T40,农业无人机,58000,农业植保/喷洒,2022-11,-,78000,-,-,3.0,0.3h,嵌入式控制器,雷达 + 视觉,CE,企业直销/经销商,https://www.dji.com,1,2,320000,,,,,,,,,,
