RA-2025-017,2025-10-08，江苏南京江宁区，埃斯顿，ER20-1710，工业机械臂，碰撞事故，0,135000，程序坐标错误，操作员，系统修正 + 培训，安监局
RA-2025-018,2025-10-22，浙江温州瓯海区，正泰，CHINT-R1，电力巡检机器人，跌落事故，0,88000，轨道检测失效，厂商，设备更换，市场监管局
RA-2025-019,2025-11-05，四川绵阳科技城，长虹，CHiQ-Bot，家用机器人，火灾事故，1,28000，电池短路，厂商，召回 + 技术改进，消防局
RA-2025-020,2025-11-18，湖北宜昌高新区，人形机器人，优必选 Walker S2，人形机器人，跌倒事故，0,150000，地面湿滑 + 算法缺陷，用户/厂商共同，软件升级 + 警示，市场监管局
RA-2025-021,2025-12-02，山东济南高新区，神思电子，SS-Service，服务机器人，碰撞事故，0,32000，导航地图过期，企业，地图更新，市场监管局
RA-2025-022,2025-12-15，福建福州高新区，新大陆，NLS-R1，支付机器人，数据泄露事故，0,580000，网络安全漏洞，厂商，系统加固 + 赔偿，网信办
RA-2026-001,2026-01-08，广东珠海高新区，格力，Gree-Bot，工业机械臂，夹伤事故，1,95000，安全光幕被遮挡，企业，安全整改 + 赔偿，安监局
RA-2026-002,2026-01-22，浙江义乌高新区，爱仕达，ASD-R1，厨房机器人，烫伤事故，1,18000，温控系统故障，厂商，召回维修，质监局
RA-2026-003,2026-02-05，湖南株洲高新区，中车，CRRC-IR，轨道巡检机器人，脱轨事故，0,380000，轨道检测传感器故障，厂商，系统升级，铁路局
RA-2026-004,2026-02-18，河南洛阳高新区，中信重工，CITIC-RX，特种巡检机器人，爆炸事故，1,850000，防爆密封失效，厂商，停产整顿 + 赔偿，应急管理部
RA-2026-005,2026-03-03，安徽芜湖经开区，埃夫特，EFORT-ER10，工业机械臂，误操作事故，1,175000，未授权人员操作，企业，停工培训 + 赔偿，安监局
RA-2026-006,2026-03-12，辽宁大连高新区，大显，DX-Service，银行服务机器人，系统瘫痪事故，0,120000，软件兼容性问题，厂商，系统回滚 + 升级，银保监局
RA-2026-007,2026-03-18，陕西西安高新区，铂亚，POYA-R1，安防机器人，坠落事故，0,68000，楼梯边缘探测失效，厂商，软件 OTA，市场监管局
RA-2024-012,2024-04-15，江苏南京江宁区，新石器，X3，无人配送车，碰撞事故，0,85000，避障系统故障，厂商，软件升级，市场监管局
RA-2024-013,2024-06-22，广东深圳南山区，美团，Magic Bot 2.0，无人配送车，碰撞事故，0,120000，行人突然横穿，用户/厂商共同，系统优化 + 警示，交警队
RA-2024-014,2024-08-10，北京亦庄开发区，京东，JD-Ant 5.0，无人配送车，剐蹭事故，0,95000，窄路会车判断失误，厂商，算法优化，交警队
RA-2024-015,2024-09-18，浙江杭州余杭区，麦歌，MG-Pick1，采摘机器人，机械故障，0,45000，机械臂关节卡滞，厂商，部件更换，农业农村局
RA-2024-016,2024-10-25，山东潍坊寿光，极飞，R150 Pro，农业无人车，翻车事故，0,68000，田埂边缘探测失效，用户，操作培训，农业农村局
RA-2024-017,2024-11-12，四川成都蒲江县，深兰科技，DB-Agri1，除草机器人，触电事故，1,125000，电缆破损漏电，厂商，召回 + 赔偿，质监局
RA-2025-023,2025-01-08，广东广州天河区，新石器，X3，无人配送车，火灾事故，0,180000，电池热失控，厂商，召回 + 技术改进，消防局
RA-2025-024,2025-02-15，上海浦东新区，白犀牛，WR-1，无人配送车，碰撞事故，0,72000，雨天传感器失效，厂商/用户共同，系统升级 + 警示，交警队
RA-2025-025,2025-03-20，北京朝阳区，美团，Magic Bot 2.0，无人配送车，摔倒事故，1,35000，路面不平导致货物掉落，用户，保险理赔，交警队
RA-2025-026,2025-04-12，江苏苏州昆山，睿农，RN-Harvest，收割机器人，机械伤害事故，1,280000，防护罩脱落，厂商，召回 + 赔偿，安监局
RA-2025-027,2025-05-08，广东东莞松山湖，行深智能，Insight 1.0，无人配送车，数据泄露事故，0,450000，网络安全漏洞，厂商，系统加固 + 赔偿，网信办
RA-2025-028,2025-06-18，浙江宁波鄞州区，毫末智行，XiaoMo 1.0，无人配送车，碰撞事故，0,88000，路口识别错误，厂商，算法优化，交警队
RA-2025-029,2025-07-22，湖南长沙长沙县，猎户星空，OS-Agri1，农业巡检机器人，跌落事故，0,52000，沟渠边缘探测失效，用户，操作培训，农业农村局
RA-2025-030,2025-08-15，福建厦门同安区，清研智行，QY-D1，无人配送车，剐蹭事故，0,42000，窄巷通行失误，用户，路线优化，交警队
RA-2025-031,2025-09-05，安徽合肥肥西县，智行者，Venus，无人配送车，碰撞事故，0,95000，夜间视觉受限，厂商/用户共同，系统升级 + 警示，交警队
RA-2025-032,2025-10-10，河南郑州中牟县，坎德拉，Sunrise，多功能配送车，夹伤事故，1,28000，自动门感应失效，厂商，部件更换 + 赔偿，质监局
RA-2026-008,2026-01-12，广东佛山南海区，普渡，BellaBot Pro，配送机器人，碰撞事故，0,32000，人流密集区导航失效，企业，限流 + 系统优化，市场监管局
RA-2026-009,2026-02-08，浙江温州乐清，擎朗智能，T10，配送机器人，跌落事故，0,58000，电梯联动故障，物业/厂商共同，系统优化，市场监管局
RA-2026-010,2026-03-05，山东青岛黄岛区，云迹科技，Runner Pro，酒店服务机器人，困梯事故，0,45000，电梯通信故障，物业/厂商共同，系统升级，市场监管局
RA-2026-011,2026-03-15，湖北武汉江夏区，极飞，R80，农业无人车，翻车事故，0,55000，坡道行驶失控，用户，操作培训 + 警示，农业农村局
RA-2024-018,2024-05-12，浙江杭州西湖区，科沃斯，T20 PRO，扫地机器人，火灾事故，0,15000，电池充电过热，厂商，召回 + 技术改进，消防局
RA-2024-019,2024-07-08，广东深圳福田区，石头科技，G10S Pure，扫地机器人，缠绕事故，1,8000，长发缠绕导致摔倒，用户，保险理赔，消费者协会
RA-2024-020,2024-09-15，江苏南京鼓楼区，云鲸，J4，扫地机器人，碰撞事故，0,5000，家具碰撞损坏，用户，使用培训，消费者协会
RA-2024-021,2024-11-20，四川成都武侯区，追觅，X30 Ultra，扫地机器人，火灾事故，1,28000，电池短路起火，厂商，召回 + 赔偿，消防局
RA-2025-033,2025-01-18，上海浦东新区，科沃斯，X1 OMNI，扫地机器人，跌落事故，0,12000，楼梯边缘探测失效，厂商，软件升级，市场监管局
RA-2025-034,2025-03-22，广东广州天河区，石头科技，S8 Pro Ultra，扫地机器人，夹伤事故，1,6000，滚刷夹伤手指，厂商/用户共同，警示 + 赔偿，质监局
RA-2025-035,2025-05-10，浙江宁波鄞州区，云鲸，J3，扫地机器人，漏水事故，0,18000，水箱密封失效，厂商，部件更换，质监局
RA-2025-036,2025-07-15，湖北武汉武昌区，追觅，L10s Ultra，扫地机器人，碰撞事故，0,8000，宠物干扰导航，用户，使用培训，消费者协会
RA-2025-037,2025-09-08，北京朝阳区，科沃斯，T10 OMNI，扫地机器人，触电事故，1,22000，充电器漏电，厂商，召回 + 赔偿，质监局
RA-2025-038,2025-11-12，福建厦门思明区，石头科技，Q Revo，扫地机器人，困梯事故，0,15000，电梯联动故障，物业/厂商共同，系统优化，市场监管局
RA-2026-012,2026-01-20，山东青岛崂山区，云鲸，J4 Lite，扫地机器人，火灾事故，0,25000，电池热失控，厂商，召回 + 技术改进，消防局
RA-2026-013,2026-02-25，湖南长沙岳麓区，追觅，H12 Pro，洗地机，漏电事故，1,18000，水箱导电漏电，厂商，召回 + 赔偿，质监局
RA-2026-014,2026-03-10，安徽合肥蜀山区，科沃斯，W2 PRO，擦窗机器人，高空坠落事故，0,85000，吸附失效坠落，厂商/用户共同，召回 + 警示，市场监管局
